model,story_id,user_story,plantuml
azure/gpt-4.1-mini,53,"As an OlderPerson, I want to be able to see my training Performance.","```plantuml
@startuml
actor OlderPerson
participant PerformanceTracker
database TrainingDatabase

OlderPerson -> PerformanceTracker: Request training performance
PerformanceTracker --> TrainingDatabase: Retrieve training data
TrainingDatabase --> PerformanceTracker: Provide performance details
PerformanceTracker --> OlderPerson: Display training performance

activate OlderPerson
deactivate OlderPerson

@enduml
```"
azure/gpt-4.1-mini,55,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","```plantuml
@startuml
actor AgencyUser
participant FlexfieldManager
participant PerformanceOptimizer
database FlexfieldDatabase

AgencyUser -> FlexfieldManager: Submit large number of flexfields
FlexfieldManager -> PerformanceOptimizer: Optimize flexfield handling
PerformanceOptimizer -> FlexfieldDatabase: Store optimized flexfields
FlexfieldDatabase --> PerformanceOptimizer: Confirmation of storage
PerformanceOptimizer --> FlexfieldManager: Optimization complete
FlexfieldManager --> AgencyUser: Confirm flexfields included without performance impact
@enduml
```"
azure/gpt-4.1-mini,57,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","```plantuml
@startuml
actor Moderator
participant EstimateEntrySystem
participant AgreementValidator
database EstimateDatabase

Moderator -> EstimateEntrySystem: Enter agreed-upon estimate
EstimateEntrySystem -> AgreementValidator: Validate estimate agreement
AgreementValidator --> EstimateEntrySystem: Agreement confirmed
EstimateEntrySystem -> EstimateDatabase: Store agreed estimate
EstimateDatabase --> EstimateEntrySystem: Confirmation of storage
EstimateEntrySystem --> Moderator: Confirm estimate entry and proceed

@enduml
```"
azure/gpt-4.1-mini,59,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","```plantuml
@startuml
actor Researcher
database InstitutionalRepository
database CRIS
participant DMPSystem
participant ReportGenerator

Researcher -> InstitutionalRepository: Record publication with DMP record
InstitutionalRepository --> Researcher: Confirmation of recording

Researcher -> CRIS: Record publication with DMP record
CRIS --> Researcher: Confirmation of recording

Researcher -> ReportGenerator: Generate research output report for a project
ReportGenerator --> DMPSystem: Retrieve linked DMP records
DMPSystem --> ReportGenerator: Provide linked DMP records
ReportGenerator --> InstitutionalRepository: Retrieve linked publications
InstitutionalRepository --> ReportGenerator: Provide linked publications
ReportGenerator --> CRIS: Retrieve linked publications
CRIS --> ReportGenerator: Provide linked publications
ReportGenerator --> Researcher: Generate and present research output report
@enduml
```"
azure/gpt-4.1-mini,61,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.","```plantuml
@startuml
actor Attendee
participant DirectionsService
database VenueDatabase

Attendee -> DirectionsService: Request detailed directions to summit venue
DirectionsService -> VenueDatabase: Retrieve venue location details
VenueDatabase --> DirectionsService: Provide venue location information
DirectionsService --> Attendee: Return detailed directions

activate Attendee
deactivate Attendee

@enduml
```"
azure/gpt-4.1-mini,63,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.","```plantuml
@startuml
sponsor->System: post job
@enduml
```"
azure/gpt-4.1-mini,65,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.","```plantuml
@startuml
moderator->System:export game_transcript as CSV
moderator->System:process stories and estimates
@enduml
```"
azure/gpt-4.1-mini,69,"As a repoadmin, I want to have Symplectic Elements to communicate","```plantuml
@startuml
actor RepoAdmin
participant SymplecticElements
participant CommunicationManager

RepoAdmin -> CommunicationManager: Initiate communication setup with Symplectic Elements
activate CommunicationManager

CommunicationManager -> SymplecticElements: Establish connection
activate SymplecticElements

SymplecticElements --> CommunicationManager: Connection established
CommunicationManager --> RepoAdmin: Communication with Symplectic Elements established

deactivate SymplecticElements
deactivate CommunicationManager
@enduml
```"
azure/gpt-4.1-mini,71,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.","```plantuml
@startuml
actor Researcher
participant DMPSystem
database InstitutionalProfile
database HRSystem
database ProjectManagementSystem

Researcher -> DMPSystem: Request to create/edit DMP
DMPSystem -> InstitutionalProfile: Retrieve researcher profile information
InstitutionalProfile --> DMPSystem: Provide profile information

DMPSystem -> HRSystem: Retrieve employment details
HRSystem --> DMPSystem: Provide employment details

DMPSystem -> ProjectManagementSystem: Retrieve current project information
ProjectManagementSystem --> DMPSystem: Provide project information

DMPSystem --> Researcher: Present prepopulated DMP form with retrieved information
@enduml
```"
azure/gpt-4.1-mini,73,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily.","```plantuml
@startuml
actor OlderPerson
actor ALFRED
database SettingsStorage

OlderPerson -> ALFRED: Request to set game duration limit
ALFRED -> ALFRED: Validate duration limit
ALFRED -> SettingsStorage: Save duration limit
SettingsStorage --> ALFRED: Confirm saved limit
ALFRED --> OlderPerson: Confirm limit set
@enduml
```"
azure/gpt-4.1-mini,77,"As a manager, I want to save the menu each month.","```plantuml
@startuml
manager -> System: save menu for the month
@enduml
```"
azure/gpt-4.1-mini,79,"As an Archivist, I want to upload an EAD for import from within the frontend application.","```plantuml
@startuml
archivist->frontend_application:upload EAD
@enduml
```"
azure/gpt-4.1-mini,81,"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.","```plantuml
@startuml
PI->data_plan:plan data recording and storage
@enduml
```"
azure/gpt-4.1-mini,83,"As a member, I want to remove reservations so that I can cancel my reservation anytime I want.","```plantuml
@startuml
actor Member
participant ReservationSystem
database ReservationDatabase

Member -> ReservationSystem: Request to remove reservation
ReservationSystem --> ReservationDatabase: Delete reservation
ReservationDatabase --> ReservationSystem: Confirm deletion
ReservationSystem --> Member: Confirm reservation cancellation

activate Member
deactivate Member

@enduml
```"
azure/gpt-4.1-mini,85,"As a librarian, I want to update pages for book information.","```plantuml
@startuml
actor Librarian
participant PageEditor
database BookDatabase

Librarian -> PageEditor: Request to update book page
PageEditor -> BookDatabase: Retrieve current book information
BookDatabase --> PageEditor: Provide book information
PageEditor -> Librarian: Display book information for editing
Librarian -> PageEditor: Submit updated book information
PageEditor -> BookDatabase: Update book information
BookDatabase --> PageEditor: Confirmation of update
PageEditor -> Librarian: Confirm page update
@enduml
```"
azure/gpt-4.1-mini,87,"As a user, I want frontend changes for managing enum lists.","```plantuml
@startuml
actor User
participant Frontend
participant EnumManager
database EnumDatabase

User -> Frontend: Request to manage enum lists
Frontend -> EnumManager: Process enum list changes
EnumManager -> EnumDatabase: Update enum lists
EnumDatabase --> EnumManager: Confirm update
EnumManager --> Frontend: Enum lists updated
Frontend --> User: Display updated enum lists
@enduml
```"
azure/gpt-4.1-mini,89,"As an admin, I want to automatically validated the ingested contents for copyright infringement.","```plantuml
@startuml
actor Admin
participant IngestionSystem
participant ValidationService
participant ContentRepository

Admin -> IngestionSystem: Start content ingestion
activate IngestionSystem

IngestionSystem -> ContentRepository: Store ingested content
ContentRepository --> IngestionSystem: Content stored confirmation

IngestionSystem -> ValidationService: Validate content for copyright infringement
activate ValidationService

ValidationService --> IngestionSystem: Validation result (valid/invalid)
deactivate ValidationService

alt Content is valid
    IngestionSystem --> Admin: Content validated successfully
else Content is invalid
    IngestionSystem --> Admin: Content validation failed - copyright infringement detected
end

deactivate IngestionSystem
@enduml
```"
azure/gpt-4.1-mini,91,"As a manager, I want to delete library members.","```plantuml
@startuml
actor Manager
participant MemberService
database LibraryDatabase

Manager -> MemberService: Request deletion of library member
MemberService -> LibraryDatabase: Delete member record
LibraryDatabase --> MemberService: Confirm deletion
MemberService --> Manager: Deletion successful

@enduml
```"
azure/gpt-4.1-mini,93,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.","```plantuml
@startuml
user->System: link email account to profile
System->EmailService: verify email
EmailService-->System: verification success
System->user: confirm email linked
user->System: request temporary password
System->EmailService: send temporary password to email
EmailService-->user: receive temporary password
@enduml
```"
azure/gpt-4.1-mini,95,"As a chef, I want to update the ingredients of the menu items.","```plantuml
@startuml
actor Chef
database MenuDatabase

Chef -> MenuDatabase: Request to update ingredients of a menu item
MenuDatabase --> Chef: Provide current ingredients details
Chef -> MenuDatabase: Submit updated ingredients for the menu item
MenuDatabase --> Chef: Confirm ingredients update

@enduml
```"
azure/gpt-4.1-mini,97,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.","```plantuml
@startuml
actor User
participant Website
participant PickupScheduler

User -> Website: Select flexible pick up time option
Website -> PickupScheduler: Request available pick up time slots
PickupScheduler --> Website: Provide available pick up time slots
Website -> User: Display available pick up time slots
User -> Website: Choose desired pick up time
Website -> PickupScheduler: Confirm chosen pick up time
PickupScheduler --> Website: Confirm pick up time set
Website -> User: Confirm pick up time selection

activate User
deactivate User

@enduml
```"
azure/gpt-4.1-mini,101,"As an archivist, I want to upload a single file.","```plantuml
@startuml
actor Archivist
participant FileUploader
database ArchiveDatabase

Archivist -> FileUploader: Upload single file
FileUploader --> ArchiveDatabase: Store file
ArchiveDatabase --> FileUploader: Confirmation of upload
FileUploader --> Archivist: Confirm upload completed
@enduml
```"
azure/gpt-4.1-mini,103,"As a librarian, I want to create information about borrowed books.","```plantuml
@startuml
librarian->System:create information borrowed_books
@enduml
```"
azure/gpt-4.1-mini,105,"As a Staff, I want to edit book, so that I can correct book records those are faulty.","```plantuml
@startuml
actor Staff
participant BookEditor
database BookDatabase

Staff -> BookEditor: Edit book details
BookEditor --> BookDatabase: Retrieve book record
BookDatabase --> BookEditor: Provide book record
BookEditor -> BookEditor: Modify book details
BookEditor --> BookDatabase: Update book record
BookDatabase --> BookEditor: Confirmation of update
BookEditor --> Staff: Confirm book record updated
@enduml
```"
azure/gpt-4.1-mini,108,"As an archivist, I want to access metadata and visual representations of index cards, so that I can use that information to assist researchers.","```plantuml
@startuml
archivist->System:access metadata index_cards
archivist->System:access visual_representations index_cards
archivist->archivist:use information assist researchers
@enduml
```"
azure/gpt-4.1-mini,111,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.","```plantuml
@startuml
user->System: provide email ID
System->user: confirm email registration
@enduml
```"
azure/gpt-4.1-mini,114,"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.","```plantuml
@startuml
actor ResearchParticipant
participant Prototype
participant Interviewer
participant WorkflowMonitor

ResearchParticipant -> Prototype: Interact with prototype
Prototype --> ResearchParticipant: Display appearance

ResearchParticipant -> WorkflowMonitor: Request workflow distraction check
WorkflowMonitor --> Prototype: Analyze appearance impact on workflow
Prototype --> WorkflowMonitor: Appearance analysis result
WorkflowMonitor --> ResearchParticipant: Confirm if appearance is distracting

activate ResearchParticipant

ResearchParticipant -> Interviewer: Proceed with user interview if no distraction
Interviewer --> ResearchParticipant: Conduct interview

deactivate ResearchParticipant
@enduml
```"
azure/gpt-4.1-mini,116,"As a member, I want to calculate the fine for delayed returns by automatically.","```plantuml
@startuml
actor Member
participant FineCalculator
database RentalDatabase

Member -> FineCalculator: Request fine calculation for delayed return
FineCalculator -> RentalDatabase: Retrieve return and due dates
RentalDatabase --> FineCalculator: Provide return and due dates
FineCalculator --> Member: Display calculated fine

activate Member
deactivate Member

@enduml
```"
azure/gpt-4.1-mini,118,"As a cook, I want to mark items unavailable, so that Waiter can inform customers.","```plantuml
@startuml
actor Cook
actor Waiter
database MenuDatabase

Cook -> MenuDatabase: Mark item as unavailable
MenuDatabase --> Cook: Confirm item marked as unavailable

Waiter -> MenuDatabase: Check unavailable items
MenuDatabase --> Waiter: Provide list of unavailable items

Waiter -> Customer: Inform about unavailable items

@enduml
```"
azure/gpt-4.1-mini,121,"As an Archivist, I want to create and edit Agent records.","```plantuml
@startuml
archivist->Agent: create record
archivist->Agent: edit record
@enduml
```"
azure/gpt-4.1-mini,123,"As an Archivist, I want to create and edit Event records.","```plantuml
@startuml
Archivist->System:create Event_record
Archivist->System:edit Event_record
@enduml
```"
azure/gpt-4.1-mini,125,"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.","```plantuml
@startuml
app_developer->System:share dataset_type previously_deployed_as_app
@enduml
```"
azure/gpt-4.1-mini,127,"As a manager, I want to keep track of resources available so that I can manage inventory.","```plantuml
@startuml
manager -> System: track available resources
@enduml
```"
azure/gpt-4.1-mini,130,"As a depositor, I want to specify a disposal policy for my data, so that I do not accidentally breach laws or collaboration agreements.","```plantuml
@startuml
actor Depositor
participant DisposalPolicyManager
participant DepositHandler

Depositor -> DisposalPolicyManager: Specify disposal policy for data
DisposalPolicyManager --> Depositor: Confirm disposal policy saved

Depositor -> DepositHandler: Initiate deposit with disposal policy
activate DepositHandler

DepositHandler -> DisposalPolicyManager: Validate disposal policy compliance
DisposalPolicyManager --> DepositHandler: Disposal policy valid

DepositHandler -> Depositor: Confirm deposit accepted with disposal policy

deactivate DepositHandler
@enduml
```"
azure/gpt-4.1-mini,132,"As a Zooniverse admin, I want to know when I should educate a volunteer.","```plantuml
@startuml
zooniverse_admin->system:check volunteer_education_need
@enduml
```"
azure/gpt-4.1-mini,134,"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides.","```plantuml
@startuml
repository_manager -> System: request recent errors display
System -> System: retrieve recent errors
System -> System: deduplicate errors
System -> repository_manager: show deduplicated recent errors
@enduml
```"
azure/gpt-4.1-mini,142,"As a researcher I want clear citation information on each document, so that I can cite accurately in a publication.","```plantuml
@startuml
researcher->document:request citation_information
document->researcher:provide clear_citation_information
@enduml
```"
azure/gpt-4.1-mini,144,"As a manager, I want to track which employees sell the most number of products so that I can increase their salary.","```plantuml
@startuml
manager -> System: track top selling employees
@enduml
```"
azure/gpt-4.1-mini,148,"As a librarian, I want to add new books to book list.","```plantuml
@startuml
actor Librarian
participant BookList
participant BookEntryForm

Librarian -> BookEntryForm: Enter new book details
BookEntryForm -> BookList: Add new book to book list
BookList --> BookEntryForm: Confirm book added
BookEntryForm --> Librarian: Notify book addition success
@enduml
```"
azure/gpt-4.1-mini,150,"As an OlderPerson, I want to use ALFRED to control the TV and radio.","```plantuml
@startuml
actor OlderPerson
actor ALFRED
participant TV
participant Radio

OlderPerson -> ALFRED: Control TV and Radio Request
ALFRED -> TV: Send TV Control Command
TV --> ALFRED: TV Control Acknowledgement
ALFRED -> Radio: Send Radio Control Command
Radio --> ALFRED: Radio Control Acknowledgement
ALFRED --> OlderPerson: Confirm Control Execution
@enduml
```"
azure/gpt-4.1-mini,152,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.","```plantuml
@startuml
Staff->System:Manage Bonds
@enduml
```"
azure/gpt-4.1-mini,154,"As a chef, I want to update the allergy warnings of menu items.","```plantuml
@startuml
actor Chef
database MenuDatabase

Chef -> MenuDatabase: Update allergy warnings of menu items
MenuDatabase --> Chef: Confirm update of allergy warnings

@enduml
```"
azure/gpt-4.1-mini,156,"As an employee, I want to change orders of a table.","```plantuml
@startuml
employee->System: change orders of a table
@enduml
```"
azure/gpt-4.1-mini,158,"As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.","```plantuml
@startuml
actor LibraryManager
participant BorrowingStatistics
database LibraryDatabase

LibraryManager -> BorrowingStatistics: Request most borrowed books
BorrowingStatistics --> LibraryDatabase: Query borrowing records
LibraryDatabase --> BorrowingStatistics: Return borrowing counts per book
BorrowingStatistics --> LibraryManager: Provide list of most borrowed books

@enduml
```"
azure/gpt-4.1-mini,160,"As a librarian, I want to edit suggestion list.","```plantuml
@startuml
actor Librarian
participant SuggestionListEditor
database SuggestionListDatabase

Librarian -> SuggestionListEditor: Open suggestion list for editing
SuggestionListEditor -> SuggestionListDatabase: Retrieve current suggestion list
SuggestionListDatabase --> SuggestionListEditor: Provide suggestion list

Librarian -> SuggestionListEditor: Make changes to suggestion list
SuggestionListEditor --> SuggestionListDatabase: Update suggestion list
SuggestionListDatabase --> SuggestionListEditor: Confirm update

SuggestionListEditor --> Librarian: Display updated suggestion list
@enduml
```"
azure/gpt-4.1-mini,162,"As a Cornell faculty member, I want to have some control over how items within my collection sort in collection contents lists, so that I can control how my work is presented.","```plantuml
@startuml
cornell_faculty_member -> System: control item sorting in collection contents list
@enduml
```"
azure/gpt-4.1-mini,166,"As a restaurant manager, I want to see weekly reports.","```plantuml
@startuml
restaurant_manager->System: see weekly reports
@enduml
```"
azure/gpt-4.1-mini,168,"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar.","```plantuml
@startuml
actor User
participant NeuroHub
participant CalendarAPI
participant WebCalendar

User -> NeuroHub: Create event
NeuroHub -> CalendarAPI: Sync event to web-based calendar
activate CalendarAPI
CalendarAPI -> WebCalendar: Add event to calendar
WebCalendar --> CalendarAPI: Confirmation of event addition
deactivate CalendarAPI
CalendarAPI --> NeuroHub: Sync confirmation
NeuroHub --> User: Event synced confirmation
@enduml
```"
azure/gpt-4.1-mini,170,"As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary.","```plantuml
@startuml
actor TeamMember
participant SprintPlanner
participant VisualDesignTaskRepository

TeamMember -> SprintPlanner: Request visual design tasks for this sprint
SprintPlanner -> VisualDesignTaskRepository: Retrieve visual design related tasks
VisualDesignTaskRepository --> SprintPlanner: Return visual design tasks
SprintPlanner --> TeamMember: Present visual design tasks to plan for sprint
@enduml
```"
azure/gpt-4.1-mini,173,"As an employee, I want to add a new information about myself to the my employee data","```plantuml
@startuml
actor Employee
participant EmployeeDataManager
database EmployeeDatabase

Employee -> EmployeeDataManager: Submit new personal information
EmployeeDataManager --> EmployeeDatabase: Store updated employee data
EmployeeDatabase --> EmployeeDataManager: Confirm data stored
EmployeeDataManager --> Employee: Confirm information added

activate Employee
deactivate Employee

@enduml
```"
azure/gpt-4.1-mini,175,"As a customer, I want to see the availability of books.","```plantuml
@startuml
actor Customer
database BookDatabase
participant BookAvailabilityChecker

Customer -> BookAvailabilityChecker: Request book availability
BookAvailabilityChecker --> BookDatabase: Retrieve book availability data
BookDatabase --> BookAvailabilityChecker: Provide availability details
BookAvailabilityChecker --> Customer: Display book availability

activate Customer
deactivate Customer

@enduml
```"
azure/gpt-4.1-mini,177,"As a user, I want to have nice error pages when something goes wrong, so that I can trust the system and its developers.","```plantuml
@startuml
user->System: encounter error
System->ErrorPage: generate nice error page
ErrorPage->user: display error page
@enduml
```"
azure/gpt-4.1-mini,179,"As a restaurant manager, I want to create, monitor and delegate tasks to workers to increase labor management efficiency.","```plantuml
@startuml
actor RestaurantManager
database TaskDatabase
participant Worker

RestaurantManager -> TaskDatabase: Create a new task
TaskDatabase --> RestaurantManager: Confirm task creation

RestaurantManager -> TaskDatabase: Monitor existing tasks
TaskDatabase --> RestaurantManager: Provide task status

RestaurantManager -> Worker: Delegate task
Worker --> RestaurantManager: Acknowledge task delegation

@enduml
```"
azure/gpt-4.1-mini,181,"As a DB/IR administrator, I want to see list of subscribers for specified report in order research missing report complaints.","```plantuml
@startuml
actor DBIRAdministrator
participant ReportService
database SubscriberDatabase

DBIRAdministrator -> ReportService: Request list of subscribers for specified report
ReportService --> SubscriberDatabase: Query subscribers for report
SubscriberDatabase --> ReportService: Return list of subscribers
ReportService --> DBIRAdministrator: Display list of subscribers

activate DBIRAdministrator
deactivate DBIRAdministrator
@enduml
```"
azure/gpt-4.1-mini,183,"As a staff, I want to add books with unique id.","```plantuml
@startuml
actor Staff
participant BookManager
database BookDatabase

Staff -> BookManager: Add book with unique id
BookManager -> BookDatabase: Check if id is unique
BookDatabase --> BookManager: Id uniqueness confirmation
alt id is unique
    BookManager -> BookDatabase: Store book with unique id
    BookDatabase --> BookManager: Confirmation of storage
    BookManager --> Staff: Book added successfully
else id is not unique
    BookManager --> Staff: Error: Duplicate id
end
@enduml
```"
azure/gpt-4.1-mini,187,"As an archivist, I want to see what a particular user has downloaded, so that I can track use of assets.","```plantuml
@startuml
archivist->System:view user_downloads
System->user:request user_identity
user->System:provide user_identity
System->System:retrieve downloaded_assets
System->archivist:show downloaded_assets
@enduml
```"
azure/gpt-4.1-mini,189,"As a user, I want to take a picture or upload an image, so that I am recommended with videos related to that picture or image.","```plantuml
@startuml
User -> System: take picture or upload image
System -> RecommendationEngine: analyze image
RecommendationEngine -> System: return related videos
System -> User: recommend videos
@enduml
```"
azure/gpt-4o,2,"As a cook, I want to keep track of store orders so that I can schedule orders.","```plantuml
@startuml
actor Cook
database OrderDatabase
participant StoreOrders

Cook -> StoreOrders: Monitor store orders
StoreOrders --> Cook: Send order details

Cook -> OrderDatabase: Save order details
OrderDatabase --> Cook: Confirm order details saved

Cook -> OrderDatabase: Retrieve order details for scheduling
OrderDatabase --> Cook: Send order details for scheduling

Cook -> StoreOrders: Schedule orders
StoreOrders --> Cook: Confirm orders scheduled

@enduml
```"
azure/gpt-4o,4,"As an OlderPerson, I want to use ALFRED to control the heating.","```plantuml
@startuml
actor OlderPerson
actor ALFRED
actor HeatingSystem

OlderPerson -> ALFRED: Request to control heating
ALFRED -> ALFRED: Process request
ALFRED -> HeatingSystem: Send control command
HeatingSystem --> ALFRED: Acknowledge command
ALFRED --> OlderPerson: Confirm heating control
@enduml
```"
azure/gpt-4o,6,"As an employee, I want to see all store orders.","```plantuml
@startuml
employee->System:display all store orders
@enduml
```"
azure/gpt-4o,8,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","```plantuml
@startuml
DataConsumingUser->System:search dataset by title or metadata
System->DatasetRepository:lookup datasets
DatasetRepository->System:return matching datasets
System->DataConsumingUser:display search results
@enduml
```"
azure/gpt-4o,10,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","```plantuml
@startuml
actor LibraryMember
database LibraryDatabase
participant SearchEngine
participant ShelfLocator

LibraryMember -> SearchEngine: Search for related books using unique information
SearchEngine --> LibraryDatabase: Query related books based on unique information
LibraryDatabase --> SearchEngine: Return related books

SearchEngine -> ShelfLocator: Locate shelf numbers for related books
ShelfLocator --> LibraryDatabase: Retrieve shelf information for books
LibraryDatabase --> ShelfLocator: Provide shelf numbers

ShelfLocator --> SearchEngine: Return shelf numbers
SearchEngine --> LibraryMember: Display related books with shelf numbers

@enduml
```"
azure/gpt-4o,12,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","```plantuml
@startuml
api_user->System:use data 
System->Dataset1:get results 
System->Dataset2:get results 
System->Dataset3:get results 
System->System:combine results 
System->api_user:return combined results 
@enduml
```"
azure/gpt-4o,14,"As a customer, I want to be able to pay the bill partially","```plantuml
@startuml
actor Customer
participant PaymentSystem
participant ReceiptSystem

Customer -> PaymentSystem: Initiate partial payment
PaymentSystem -> Customer: Request payment details
Customer -> PaymentSystem: Provide partial payment amount and details
PaymentSystem -> ReceiptSystem: Record partial payment
ReceiptSystem -> PaymentSystem: Confirm payment record
PaymentSystem -> Customer: Confirm partial payment successful

@enduml
```"
azure/gpt-4o,16,"As a cook, I want to have employee data on the system including clock in and out information.","```plantuml
@startuml
actor Cook
database EmployeeDatabase
participant EmployeeDataTracker

Cook -> EmployeeDataTracker: Request employee data including clock in/out information
EmployeeDataTracker --> EmployeeDatabase: Retrieve employee data
EmployeeDatabase --> EmployeeDataTracker: Provide employee details including clock in/out times
EmployeeDataTracker --> Cook: Display employee data

activate Cook
deactivate Cook

@enduml
```"
azure/gpt-4o,18,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","```plantuml
@startuml
actor PlanReviewStaff
actor System
actor Applicant

PlanReviewStaff -> System: Submit Plan for Review
System -> System: Capture Plan Details
System -> PlanReviewStaff: Acknowledge Receipt

activate PlanReviewStaff

loop until review completed
    PlanReviewStaff -> System: Review Plan for Compliance
    System -> System: Record Review Results
    alt Plan Approved
        System -> Applicant: Notify Approval
    else Plan Failed or Denied
        System -> Applicant: Notify Failure or Denial
        System -> Applicant: Provide Conditions, Clearances, or Corrections
    end
end

System -> PlanReviewStaff: Notify Review Completion

deactivate PlanReviewStaff

@enduml
```"
azure/gpt-4o,20,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","```plantuml
@startuml
patron -> System: request historical versions of reports/datasets
System -> Database: retrieve previous name(s) and publication date range
Database --> System: return previous name(s) and publication date range
System --> patron: provide previous name(s) and publication date range
@enduml
```"
azure/gpt-4o,22,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","```plantuml
@startuml
user->System:scope search by language(collections/objects/object components)
@enduml
```"
azure/gpt-4o,24,"As a MedicalCaregiver, I want to locate the ALFRED user.","```plantuml
@startuml
actor MedicalCaregiver
actor ALFRED
database LocationService

MedicalCaregiver -> ALFRED: Request User Location
ALFRED -> ALFRED: Process Location Request
ALFRED -> LocationService: Retrieve User Location
LocationService --> ALFRED: Return User Location
ALFRED --> MedicalCaregiver: Provide User Location

@enduml
```"
azure/gpt-4o,26,"As a library staff member, I want to be able to assign an item to more than one collection.","```plantuml
@startuml
actor LibraryStaff
database LibraryDatabase
participant CollectionManager

LibraryStaff -> CollectionManager: Assign item to multiple collections
CollectionManager -> LibraryDatabase: Retrieve item details
LibraryDatabase --> CollectionManager: Provide item details

CollectionManager -> LibraryDatabase: Update item with assigned collections
LibraryDatabase --> CollectionManager: Confirm update

CollectionManager --> LibraryStaff: Confirmation of successful assignment

@enduml
```"
azure/gpt-4o,28,"As a repository manager, I want to indicate any name that is pertinent to the component.","```plantuml
@startuml
repository_manager->System:indicate pertinent name to component
@enduml
```"
azure/gpt-4o,30,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","```plantuml
@startuml
actor LibraryMember
participant MobileApp
database LibraryDatabase

LibraryMember -> MobileApp: Search for a book's availability
MobileApp -> LibraryDatabase: Query book status
LibraryDatabase --> MobileApp: Return book status (Available/Checked out)
MobileApp --> LibraryMember: Display book status

@enduml
```"
azure/gpt-4o,32,"As a restaurant employee, I want to receive a notification message when the customer places an order.","```plantuml
@startuml
actor Customer
participant OrderSystem
database NotificationService
actor RestaurantEmployee

Customer -> OrderSystem: Place an order
OrderSystem -> NotificationService: Send notification message
NotificationService -> RestaurantEmployee: Notify about new order

@enduml
```"
azure/gpt-4o,34,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","```plantuml
@startuml
actor Student
database LibraryDatabase
participant UnavailableBooksProcessor

Student -> UnavailableBooksProcessor: Request list of unavailable books
UnavailableBooksProcessor --> LibraryDatabase: Query unavailable books
LibraryDatabase --> UnavailableBooksProcessor: Return list of unavailable books
UnavailableBooksProcessor --> Student: Provide list of unavailable books
@enduml
```"
azure/gpt-4o,37,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","```plantuml
@startuml
dam_manager->System: request responsible agent(s) for event
System-->dam_manager: provide responsible agent(s)
@enduml
```"
azure/gpt-4o,39,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","```plantuml
@startuml
actor Developer
actor BrokerApp
database DataStorage

Developer -> BrokerApp: Request Application Data
BrokerApp -> BrokerApp: Process Request
BrokerApp -> DataStorage: Fetch Data
DataStorage --> BrokerApp: Return Data
BrokerApp --> Developer: Provide Application Data

@enduml
```"
azure/gpt-4o,41,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","```plantuml
@startuml
actor AgencyUser
actor System

AgencyUser -> System: Submit Data Elements
System -> System: Validate Data Format

activate System

alt Data elements surrounded by quotation marks
    System -> System: Retain Leading and Trailing Zeroes
    System -> AgencyUser: Confirm Submission
else Data elements not surrounded by quotation marks
    System -> AgencyUser: Reject Submission and Notify Error
end

deactivate System

@enduml
```"
